Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S130621208,Black-bellied Whistling-Duck,Dendrocygna autumnalis,230,30,US-TX,Aransas,L1096078,Goose Island SP--Big Tree/Lamar Beach rd area,28.1497681,-96.976254,2023-03-10,03:48 PM,eBird - Traveling Count,26,1,.45,,2
S130598265,Black-bellied Whistling-Duck,Dendrocygna autumnalis,230,1,US-TX,Bexar,L2467071,Brackenridge Park (HOTE 095),29.4590115,-98.4716392,2023-03-10,10:49 AM,eBird - Traveling Count,98,1,2.,,2
S130714649,Black-bellied Whistling-Duck,Dendrocygna autumnalis,230,3,US-TX,Cameron,L283726,South Padre Is.--WBC/Conv. Center/Laguna Madre Trail (LTC 035),26.1400912,-97.1748233,2023-03-11,03:27 PM,eBird - Traveling Count,54,1,2.21,,2
S130876024,Black-bellied Whistling-Duck,Dendrocygna autumnalis,230,2,US-TX,Hidalgo,L128890,Bentsen-Rio Grande Val. SP WBC (Mission) (LTC 069),26.1849709,-98.3793885,2023-03-13,07:46 AM,eBird - Traveling Count,106,1,4.86,,2
S130876185,Black-bellied Whistling-Duck,Dendrocygna autumnalis,230,10,US-TX,Hidalgo,L259855,Estero Llano Grande SP WBC (LTC 054),26.1268335,-97.9578167,2023-03-12,01:50 PM,eBird - Traveling Count,303,1,6.13,,2
S130876136,Black-bellied Whistling-Duck,Dendrocygna autumnalis,230,2,US-TX,Hidalgo,L129085,Santa Ana NWR (LTC 059),26.0813003,-98.1351399,2023-03-12,07:48 AM,eBird - Traveling Count,148,1,3.56,,2
S126260684,Black-bellied Whistling-Duck,Dendrocygna autumnalis,230,300,US-FL,Orange,L452007,Orlando Wetlands Park,28.5700783,-80.9963373,2023-01-15,01:19 PM,eBird - Traveling Count,256,1,4.575,,3,,,"Tristan was awake so he could be added as an observer. Sergey ended off the day with ""let's go,"" but continued to search for Sedge Wren for another 15 minutes.",526303631 526303641 526304771 526304781 526304801
S130876136,Fulvous Whistling-Duck,Dendrocygna bicolor,235,1,US-TX,Hidalgo,L129085,Santa Ana NWR (LTC 059),26.0813003,-98.1351399,2023-03-12,07:48 AM,eBird - Traveling Count,148,1,3.56,,2,,,,547184961
S124339272,Snow Goose,Anser caerulescens,252,50,US-CA,Imperial,L385867,Salton Sea NWR--Unit 1 (no public access north of observation deck),33.0826963,-115.7097244,2022-12-20,04:31 PM,eBird - Traveling Count,20,0,.322,,4
S54265853,Snow Goose,Anser caerulescens,252,20,US-CA,Imperial,L465122,Sonny Bono Salton Sea NWR--Rock Hill Trail,33.1788315,-115.6226921,2019-03-25,11:16 AM,eBird - Traveling Count,100,1,1.287,,3
S124344680,Snow Goose,Anser caerulescens,252,400,US-CA,Imperial,L465122,Sonny Bono Salton Sea NWR--Rock Hill Trail,33.1788315,-115.6226921,2022-12-20,12:02 PM,eBird - Traveling Count,65,1,1.287,,4
S124344737,Snow Goose,Anser caerulescens,252,400,US-CA,Imperial,L986378,Sonny Bono Salton Sea NWR--Vendel Rd.,33.0757606,-115.7096225,2022-12-20,03:35 PM,eBird - Traveling Count,55,1,4.828,,4
S105340820,Snow Goose,Anser caerulescens,252,1,US-CA,Inyo,L246739,Furnace Creek Ranch--The Ranch at Death Valley,36.4588031,-116.8723547,2022-03-21,07:07 AM,eBird - Traveling Count,73,1,1.931,,3,,"Immature, on sewage ponds."
S50878322,Snow Goose,Anser caerulescens,252,500,US-CA,Merced,L615250,Merced NWR--Auto Loop,37.1679431,-120.6220293,2018-12-22,02:32 PM,eBird - Traveling Count,150,1,9.656,,2,,,,130595191
S124396227,Snow Goose,Anser caerulescens,252,2,US-CA,San Diego,L506275,San Diego River mudflats & Robb Field,32.7567009,-117.2392788,2022-12-21,03:59 PM,eBird - Traveling Count,55,1,.805,,4,,"Continuing juvenile birds, first on the mudflats west of the Sunset Cliffs Blvd bridge, then flew to the fields at dusk. Photos."
S143178849,Snow Goose,Anser caerulescens,252,1,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2023-06-30,01:02 PM,eBird - Traveling Count,16,1,.467,,2,,"Continuing. White goose in the north end of the Casey Forebay. (37.4355887, -122.0990641). Red bill relatively large with black grinpatch.",,590900621
S125995571,Snow Goose,Anser caerulescens,252,7,US-CA,Santa Clara,L2597366,Coyote Valley--Laguna Ave.,37.1871074,-121.7367554,2023-01-12,07:11 AM,eBird - Traveling Count,120,1,1.83,,2,,Counted individually. Seen with the flock of Canada Geese on the north side of Laguna Ave. Photos attached.
S76767943,Snow Goose,Anser caerulescens,252,2,US-CA,Santa Clara,L470022,Hellyer County Park,37.2810873,-121.8110847,2020-11-27,09:30 AM,eBird - Traveling Count,167,1,3.219,,3
S124609133,Snow Goose,Anser caerulescens,252,1,US-CA,Santa Clara,L651904,Salt Pond A13,37.4452213,-121.9796562,2022-12-25,12:30 PM,eBird - Traveling Count,260,1,.805,,2,,"Flew in with a single GWFG, tried to make a landing among the giant gull flock, but then reconsidered and flew back north. Later, seen flying south with 3 GWFG.","Observing the giant gull flock on the mud of A13. Many gulls were streaming in from the south, and some streaming out towards the more distant salt ponds for the duration of the observation, so the total number of gulls increased from around 1500 to likely over 2000. Interestingly, there were no gulls on the A12 islands when we passed by them on our way back to Alviso Marina."
S125866571,Snow Goose,Anser caerulescens,252,2,US-CA,Santa Clara,L776813,Sunnyvale WPCP--Pond A4,37.4219806,-122.007637,2023-01-10,07:33 AM,eBird - Traveling Count,49,1,1.26,,2
S124344680,Ross's Goose,Anser rossii,256,5,US-CA,Imperial,L465122,Sonny Bono Salton Sea NWR--Rock Hill Trail,33.1788315,-115.6226921,2022-12-20,12:02 PM,eBird - Traveling Count,65,1,1.287,,4,,We could only find a few among the Snow Geese.
S50878322,Ross's Goose,Anser rossii,256,100,US-CA,Merced,L615250,Merced NWR--Auto Loop,37.1679431,-120.6220293,2018-12-22,02:32 PM,eBird - Traveling Count,150,1,9.656,,2,,,,130595161
S76767943,Ross's Goose,Anser rossii,256,1,US-CA,Santa Clara,L470022,Hellyer County Park,37.2810873,-121.8110847,2020-11-27,09:30 AM,eBird - Traveling Count,167,1,3.219,,3
